ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12135001,JD331664,08/14/2020 12:28:00 AM,003XX S CICERO AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,1533.0,15.0,28.0,25.0,03,1144439.0,1898153.0,2020.0,08/21/2020 03:53:36 PM,41.876548089,-87.745134143,"(41.876548089, -87.745134143)"
12135006,JD331649,08/14/2020 12:44:00 AM,056XX S MORGAN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,712.0,7.0,16.0,68.0,15,1170609.0,1867366.0,2020.0,08/21/2020 03:53:36 PM,41.791533383,-87.64994576,"(41.791533383, -87.64994576)"
12135430,JD332125,08/14/2020 12:45:00 PM,036XX W GRAND AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,True,False,1112.0,11.0,27.0,23.0,26,1152073.0,1907615.0,2020.0,08/21/2020 03:53:36 PM,41.902365801,-87.716854733,"(41.902365801, -87.716854733)"
12244975,JD459014,12/14/2020 04:10:00 PM,078XX S JEFFERY BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,414.0,4.0,8.0,43.0,08B,1190896.0,1853381.0,2020.0,12/21/2020 03:47:08 PM,41.752690858,-87.576009853,"(41.752690858, -87.576009853)"
12135762,JD332445,08/14/2020 04:07:00 PM,008XX N RIDGEWAY AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,False,1112.0,11.0,27.0,23.0,08B,1151233.0,1905355.0,2020.0,08/21/2020 03:53:36 PM,41.896180661,-87.719999553,"(41.896180661, -87.719999553)"
12135056,JD331696,08/14/2020 01:30:00 AM,044XX W JACKSON BLVD,0810,THEFT,OVER $500,RESIDENCE,False,False,1113.0,11.0,28.0,26.0,06,1146834.0,1898317.0,2020.0,08/21/2020 03:53:36 PM,41.876952748,-87.736336193,"(41.876952748, -87.736336193)"
12135469,JD331827,08/14/2020 08:33:00 AM,008XX W 119TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,524.0,5.0,34.0,53.0,08B,1172891.0,1825939.0,2020.0,08/21/2020 03:53:36 PM,41.677802,-87.642796906,"(41.677802, -87.642796906)"
12139298,JD336343,05/30/2020 08:23:00 PM,002XX W ADAMS ST,0610,BURGLARY,FORCIBLE ENTRY,OTHER (SPECIFY),False,False,122.0,1.0,42.0,32.0,05,1174663.0,1899413.0,2020.0,08/21/2020 03:51:30 PM,41.879383612,-87.634124064,"(41.879383612, -87.634124064)"
12135800,JD332602,08/14/2020 06:59:00 PM,008XX E 79TH ST,0860,THEFT,RETAIL THEFT,GAS STATION,False,False,624.0,6.0,8.0,69.0,06,1183364.0,1852811.0,2020.0,08/21/2020 03:53:36 PM,41.751305337,-87.603628907,"(41.751305337, -87.603628907)"
12244600,JD458495,12/14/2020 04:13:00 AM,020XX W RICE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1212.0,12.0,2.0,24.0,08B,1162668.0,1905671.0,2020.0,12/21/2020 03:47:08 PM,41.896815793,-87.677992143,"(41.896815793, -87.677992143)"
12139370,JD336658,08/14/2020 12:00:00 PM,029XX W IRVING PARK RD,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1724.0,17.0,33.0,16.0,11,1156164.0,1926446.0,2020.0,08/21/2020 03:53:36 PM,41.953957834,-87.701317934,"(41.953957834, -87.701317934)"
